ID,ADRESS,CORD
20000787,"WIEJSKA 9, 87300, BRODNICA","53.2614495, 19.3954432"
20002730,"WIENIECKA 49, 87800, WŁOCŁAWEK","52.6599158, 19.0330848"
20003719,"NIESZAWSKA 6, 87600, LIPNO","52.84137519999999, 19.1574149"
20005854,"SADOWA 26A, 63400, OSTRÓW WIELKOPOLSKI","51.6263758, 17.8136148"
061/200028,"UL. STEFANA OKRZEI 1A, 03715, WARSZAWA","52.2488549, 21.0298143"
063/200302,"ALEJE STEFANA BATOREGO 88, 33300, NOWY SĄCZ","49.6077424, 20.7012819"
70000993,"ARMII KRAJOWEJ 2/4, 05800, PRUSZKÓW","52.1591509, 20.8180976"
08R/20497,"OSIEDLE XXX LECIA 21, 47303, KRAPKOWICE","50.4916792, 17.9717699"
09R/010016,"UL. TADEUSZA CZACKIEGO 3, 35051, RZESZÓW","50.0292268, 21.9976139"
09R/010017,"UL. WARZYWNA 3, 35310, RZESZÓW","50.0331296, 22.0136736"
09R/010022,"UL. DĄBROWSKIEGO 10, 38100, STRZYŻÓW","49.8675587, 21.7872494"
09R/010044,"UL. FRYDERYKA SZOPENA 2, 35055, RZESZÓW","50.0358368, 22.0085197"
09R/030798,"UL. JANA PAWŁA II 181, 35317, RZESZÓW","49.9779053, 21.9930867"
100000055,"KONSTYTUCJI 3 MAJA 34, 19200, GRAJEWO","53.6457121, 22.4701765"
126/100036,"UL. 3 MAJA 13-15, 41800, ZABRZE","50.3015027, 18.7850404"
126/112510,"UL. ZYGMUNTA STAREGO 20, 44100, GLIWICE","50.290326, 18.6565478"
126/210943,"UL. ZYGMUNTA STAREGO 20, 44100, GLIWICE","50.290326, 18.6565478"
130000189,"PREZYDENTA STEFANA ARTWIŃSKIEGO 3, 25734, KIELCE","50.87066489999999, 20.5990222"
130000783,"JAGIELLOŃSKA 13, 25613, KIELCE","50.8817965, 20.6153357"
130003237,"SZPITALNA 4, 27500, OPATÓW","50.8043383, 21.4251156"
140000823,"ŻOŁNIERSKA 18A, 10561, OLSZTYN","53.7677269, 20.4957734"
121/100521,"UL. GLIWICKA 37, 43180, ORZESZE","50.1555887, 18.7760325"
121/208224,"UL. ZIOŁOWA 45/47, 40635, KATOWICE","50.2112318, 18.9975604"
121/210772,"UL. FABRYCZNA 13D, 40611, KATOWICE","50.2178252, 18.9877891"
121/212415,"UL. ZAŁĘSKA 9, 40595, KATOWICE","50.2365863, 18.9794809"
123/207579,"ALEJA WOLNOŚCI 34, 42200, CZĘSTOCHOWA","50.8066606, 19.117467"
124/100310,"UL. 26 MARCA 51, 44300, WODZISŁAW ŚLĄSKI","50.0097795, 18.4626849"
150000016,"MOSSEGO 17, 62065, GRODZISK WIELKOPOLSKI","52.2282249, 16.3685783"
150000024,"ALEJA WOLNOŚCI 4, 63500, OSTRZESZÓW","51.425756, 17.9273546"
150000038,"JURASZÓW 7-19, 60479, POZNAŃ-JEŻYCE","52.43938989999999, 16.906236"
150002064,"WOLICA 113, 62872, GODZIESZE MAŁE","51.69919780000001, 18.149303"
70001080,"KRASIŃSKIEGO 54/56, 01755, WARSZAWA","52.2614004, 20.9646825"
70001192,"PŁOCKA 26, 01138, WARSZAWA","52.23610009999999, 20.9659096"
70001266,"MOCHNACKIEGO 10, 02042, WARSZAWA","52.21749579999999, 20.984297"
70001439,"KOMISJI EDUKACJI NARODOWEJ 1, 07200, WYSZKÓW","52.5860954, 21.4440419"
70001667,"KOŚCIUSZKI 15, 07100, WĘGRÓW","52.3992732, 22.0203498"
100000360,"SZPITALNA 8, 17300, SIEMIATYCZE","52.4214742, 22.8632133"
100000504,"SZPITALNA 5, 18200, WYSOKIE MAZOWIECKIE","52.9156138, 22.5209548"
100002129,"PAPIEŻA JANA PAWŁA II 3, 18300, ZAMBRÓW","52.98838629999999, 22.2544032"
000003,"UL. SREBRNIKI 17, 80282, GDAŃSK","54.3761522, 18.5776841"
3101109,"UL. BOROWSKA 213, 50556, WROCŁAW","51.0734038, 17.0310001"
3201001,"UL. JANA PAWŁA II 2, 57320, POLANICA-ZDRÓJ","50.4079139, 16.4989101"
3201018,"UL. STEFANA OKRZEI 49, 57500, BYSTRZYCA KŁODZKA","50.2999893, 16.6538035"
3202027,"UL. MARII SKŁODOWSKIEJ-CURIE 3-7, 58160, ŚWIEBODZICE","50.85394040000001, 16.3222672"
3301039,"UL. TADEUSZA KOŚCIUSZKI 15, 67200, GŁOGÓW","51.6553377, 16.0770086"
3302043,"UL. SZPITALNA 3, 59400, JAWOR","51.0468293, 16.1985233"
150007613,"OSIEDLE BATOREGO 80A/L3, 60687, POZNAŃ","52.464096, 16.9196465"
150008909,"CZĘSTOCHOWSKA 71-75, 62800, KALISZ","51.7467629, 18.0962588"
160002572,"LEGNICKA 48/BUD F, 54202, WROCŁAW","51.116781, 16.9959327"
70600864,"SIELECKA 22, 00738, WARSZAWA","52.2049259, 21.0393629"
70604447,"SEWERYNA GOSZCZYŃSKIEGO 1, 02616, WARSZAWA","52.1953172, 21.0213997"
08R/20356,"UL. SKŁODOWSKIEJ-CURIE 23, 46200, KLUCZBORK","50.96711999999999, 18.2168318"
08R/20361,"UL. BOHATERÓW WARSZAWY 34, 48300, NYSA","50.4710411, 17.3290681"
210796,"UL. RUDZKA 34/36, 95030, RZGÓW","51.67384389999999, 19.4791601"
220350,"UL. WARSZAWSKA 62A, 98100, ŁASK","51.59070699999999, 19.1532131"
30002945,"OKOPOWA 3, 20022, LUBLIN","51.2454135, 22.5574113"
102409,"UL. LEGNICKA 48 F, 54202, WROCŁAW","51.1166977, 16.995508"
102583,"UL. HENRYKA MICHAŁA KAMIEŃSKIEGO 73A, 51124, WROCŁAW","51.1505201, 17.0444346"
102737,"UL. EDWARDA BOROWSKIEGO 2A -3, 66400, GORZÓW WIELKOPOLSKI","52.7370321, 15.2364697"
30000090,"SZPITALNA 2, 08530, DĘBLIN","51.5547045, 21.8533171"
30000107,"JÓZEFA BEMA 1, 24100, PUŁAWY","51.42189399999999, 21.974993"
061/100152,"UL. SZPITALNA 2, 32400, MYŚLENICE","49.8289578, 19.9463047"
065/100193,"UL. MARII SKŁODOWSKIEJ-CURIE 1, 33100, TARNÓW","50.0120309, 20.998467"
70000966,"NARUTOWICZA 80, 05400, OTWOCK","52.106562, 21.3035417"
70000969,"DALEKA 11, 05825, GRODZISK MAZOWIECKI","52.0961201, 20.6165799"
09R/010010,"UL. ŻEROMSKIEGO 22, 39300, MIELEC","50.2884249, 21.4375291"
09R/010014,"UL. SZPITALNA 16, 37200, PRZEWORSK","50.064608, 22.4776129"
09R/030318,"UL. KS. STANISŁAWA STASZICA 3, 38400, KROSNO","49.69087829999999, 21.7687516"
09R/030680,"UL. STANISŁAWA MONIUSZKI 8, 35017, RZESZÓW","50.0381534, 21.9989168"
09R/030944,"UL. WITOLDA 6B, 35302, RZESZÓW","50.0311365, 22.0402056"
126/100535,"UL. DWORCOWA 31, 44145, PILCHOWICE","50.2150944, 18.5631728"
130002123,"KLONOWA 55G, 25553, KIELCE","50.890784, 20.6366071"
140000789,"LEŚNA 1, 13200, DZIAŁDOWO","53.242104, 20.1927353"
140001140,"AMERYKA 21, 11015, AMERYKA","53.6174571, 20.3175514"
121/100280,"UL. UZDROWISKOWA 54, 43230, GOCZAŁKOWICE-ZDRÓJ","49.9371533, 18.9798107"
121/210448,"UL. STRZELCÓW BYTOMSKICH 11, 41500, CHORZÓW","50.2923993, 18.9438947"
121/212090,"UL. WINCENTEGO LIPA 2, 41703, RUDA ŚLĄSKA","50.3148, 18.8893637"
122/100178,"UL. BIELSKA 4, 43400, CIESZYN","49.74471080000001, 18.6413965"
123/100147,"UL. BIALSKA 104/118, 42200, CZĘSTOCHOWA","50.8299745, 19.0895574"
124/210531,"UL. DĄBROWSKIEGO 20, 44240, ŻORY","50.0355194, 18.6831591"
140003832,"GEN. TADEUSZA KOŚCIUSZKI 30/2, 10504, OLSZTYN","53.7817307, 20.492453"
150000025,"ŚW.JANA 9, 62200, GNIEZNO","52.5383905, 17.5968797"
150000028,"LIMANOWSKIEGO 20/22, 63400, OSTRÓW WIELKOPOLSKI","51.6541981, 17.8243846"
70001094,"KASPRZAKA 17 A, 01211, WARSZAWA","52.2269863, 20.9702777"
70001194,"BANACHA 1A, 02097, WARSZAWA","52.20992039999999, 20.9842957"
70001662,"KS. J. BOSKO 5, 08300, SOKOŁÓW PODLASKI","52.407031, 22.2533607"
70001668,"SŁONECZNA 1, 08200, ŁOSICE","52.2146825, 22.7072801"
100000362,"OGRODOWA 12, 15027, BIAŁYSTOK","53.1347309, 23.1695618"
100000489,"WOJSKA POLSKIEGO 69, 18500, KOLNO","53.4122578, 21.921812"
100004129,"ZAMENHOFA 19, 15435, BIAŁYSTOK","53.1343141, 23.1599155"
000120,"UL. POWSTANIA STYCZNIOWEGO 1, 81519, GDYNIA","54.4888403, 18.5530456"
001236,"PL. KASZUBSKI 1, 81350, GDYNIA","54.5236284, 18.5432862"
3202112,"UL. CICHA 1, 58200, DZIERŻONIÓW","50.7286477, 16.6587761"
3302695,"UL. HOŻA 11, 59500, ZŁOTORYJA","51.1166045, 15.9095798"
20000671,"M.SKŁODOWSKIEJ-CURIE 9, 85094, BYDGOSZCZ","53.1272142, 18.0310401"
150004112,"GRUNWALDZKA 324, 60166, POZNAŃ","52.38399889999999, 16.837532"
150004192,"SŁOWACKIEGO 8, 60823, POZNAŃ-JEŻYCE","52.4099837, 16.9114894"
150006180,"POZNAŃSKA 79, 62800, KALISZ","51.7634137, 18.0650867"
160000378,"SPÓŁDZIELCZA 8, 78400, SZCZECINEK","53.705142, 16.7043444"
160000729,"KOŚCIUSZKI 58, 74400, DĘBNO","52.7314331, 14.7029"
70600229,"KACZA 8, 01013, WARSZAWA","52.2408131, 20.980148"
70603584,"- -, 05462, ZAGÓRZE","52.1991101, 21.2476659"
70604224,"SZTURMOWA 2, 02678, WARSZAWA","52.1698675, 21.0153473"
210234,"UL. MIKOŁAJA KOPERNIKA 38, 90552, ŁÓDŹ","51.7604733, 19.4441203"
230160,"UL. KOŚCIUSZKI 52, 99300, KUTNO","52.23977499999999, 19.3731323"
240295,"OS. ZAPIECEK 16, 97200, TOMASZÓW MAZOWIECKI","51.5281338, 20.0171924"
061/100025,"UL. MIKOŁAJA KOPERNIKA 13, 32100, PROSZOWICE","50.1854917, 20.2995458"
30000351,"DOKTORA ANDRZEJA ROGALIŃSKIEGO 3, 21400, ŁUKÓW","51.9247946, 22.3787434"
30000549,"SOBIESKIEGO 4, 22300, KRASNYSTAW","50.9834903, 23.1637417"
30000551,"ADAMPOL 37, 22200, ADAMPOL","51.5460486, 23.4626495"
30002763,"PLAC KOŚCIUSZKI 25, 22460, SZCZEBRZESZYN","50.6942418, 22.9782871"
30003638,"POLNA 9A, 22400, ZAMOŚĆ","50.7109069, 23.2824989"
30003697,"KRZYWA 13, 60118, POZNAŃ","52.3818127, 16.8866929"
102718,"UL. MŁYŃSKA 6, 66200, ŚWIEBODZIN","52.2520943, 15.5341552"
110056,"UL. DR. STEFANA KOPCIŃSKIEGO 22, 90153, ŁÓDŹ","51.7739194, 19.4829862"
20000788,"PLAC DR RYDYGIERA 1, 86200, CHEŁMNO","53.3446568, 18.4208503"
20000809,"SĄDOWA 18, 86100, ŚWIECIE","53.4081438, 18.4563914"
20002916,"BARSKA 13, 87800, WŁOCŁAWEK","52.6475613, 19.089041"
20003315,"LEGNICKA 48/BUSINESS, 54202, WROCŁAW","51.1176966, 16.9959085"
20005221,"UL. SZPITALNA 3F, 86065, RADZIEJÓW","52.61860619999999, 18.5165166"
30000092,"STASZICA 16, 20081, LUBLIN","51.2506587, 22.562557"
061/100036,"UL. GARNCARSKA 11, 31115, KRAKÓW","50.0613183, 19.9270722"
08R/20555,"UL. SKŁODOWSKIEJ-CURIE 21, 46200, KLUCZBORK","50.96874159999999, 18.2167177"
08R/20597,"UL. 3 MAJA 30, 47303, KRAPKOWICE","50.4885343, 17.9715907"
09R/010046,"UL. LWOWSKA 60, 35301, RZESZÓW","50.03521629999999, 22.0372236"
09R/030011,"UL. FRYDERYKA SZOPENA 1, 35055, RZESZÓW","50.035787, 22.009937"
09R/030156,"UL. JAGIELLOŃSKA 23/3, 35025, RZESZÓW","50.0346753, 21.9971456"
09R/030424,"UL. GEN. MARIANA LANGIEWICZA 61, 35021, RZESZÓW","50.0303632, 21.9781952"
09R/031360,"UL. ADAMA MICKIEWICZA 38, 37700, PRZEMYŚL","49.7824967, 22.7881531"
09R/031456,"UL. KORCZYŃSKA 43, 38400, KROSNO","49.7004205, 21.7853858"
100000078,"SZPITALNA 12, 16300, AUGUSTÓW","53.8513998, 22.9934527"
125/101002,"UL. SZPITALNA 13, 41300, DĄBROWA GÓRNICZA","50.3202741, 19.1767704"
126/212072,"UL. LIPOWA 3, 42600, TARNOWSKIE GÓRY","50.439377, 18.8575907"
126/212540,"UL. BYTOMSKA 22, 42606, TARNOWSKIE GÓRY","50.43811580000001, 18.8629983"
130000124,"BATALIONÓW CHŁOPSKICH 6, 27200, STARACHOWICE","51.0651193, 21.0735064"
130002597,"KOZIA 3A, 25514, KIELCE","50.87261489999999, 20.6310348"
140000158,"JANA AMOSA KOMEŃSKIEGO 35, 82300, ELBLĄG","54.1563784, 19.424828"
140000364,"SŁONECZNA 7, 19500, GOŁDAP","54.3094409, 22.3057207"
140000795,"JAGIELLOŃSKA 78, 10357, OLSZTYN","53.80672490000001, 20.5143298"
121/200586,"UL. ŻELAZNA 1, 40851, KATOWICE","50.2672112, 19.0083882"
122/100069,"ALEJA ARMII KRAJOWEJ 101, 43316, BIELSKO-BIAŁA","49.7916585, 19.039059"
124/214687,"UL. ALEJA ZJEDNOCZONEJ EUROPY 37, 44240, ŻORY","50.0343988, 18.6822664"
140001219,"WOLNOŚCI 12, 11700, MRĄGOWO","53.8793951, 21.3037821"
140001537,"3F 3F, 13200, MALINOWO","53.2435629, 20.2247097"
140001543,"JAGIEŁŁY 1, 14100, OSTRÓDA","53.6924946, 19.9747343"
140001577,"BRZOZOWA 14 A, 10177, OLSZTYN","53.7891476, 20.4410743"
140001867,"3 MAJA 38/3, 13300, NOWE MIASTO LUBAWSKIE","53.4245212, 19.5912942"
150000069,"SZAMARZEWSKIEGO 62, 60569, POZNAŃ-JEŻYCE","52.4119203, 16.8874906"
150001425,"SZPITALNA 10, 64400, MIĘDZYCHÓD","52.5994261, 15.8896988"
150002121,"SZPITALNA 43, 62500, KONIN","52.1969127, 18.2399595"
70001274,"INDIRY GANDHI 14, 02776, WARSZAWA","52.14573499999999, 21.032914"
70001663,"LUBELSKA 50, 08400, GARWOLIN","51.8704709, 21.6362955"
70001664,"KILIŃSKIEGO 29, 08110, SIEDLCE","52.1630228, 22.2754276"
120/214662,"UL. BITWY WARSZAWSKIEJ 1920 R. 18, 02366, WARSZAWA","52.2148908, 20.9667702"
3101062,"UL. WARSZAWSKA 2, 52114, WROCŁAW","51.0641196, 17.0803789"
3102229,"UL. ZAOLZIAŃSKA 4, 53334, WROCŁAW","51.0969816, 17.0256782"
3102989,"UL. GRZYBOWA 1, 56300, MILICZ","51.5165033, 17.2644057"
3401029,"UL. LUBAŃSKA 11-12, 59900, ZGORZELEC","51.1576117, 15.0097586"
70603280,"AL.JEROZOLIMSKIE 96 96, 00807, WARSZAWA","52.2225651, 20.9784997"
70606737,"KONSTRUKTORSKA 13, 02673, WARSZAWA","52.1849768, 20.9897831"
08R/10019,"UL. KARŁOWICZA 40, 48340, GŁUCHOŁAZY","50.30424259999999, 17.3869287"
08R/20166,"UL. JAGIELLOŃSKA  29, 47303, KRAPKOWICE","50.4917908, 17.9729356"
061/100026,"UL. KARMELICKA 5, 34100, WADOWICE","49.8807686, 19.4919913"
30003182,"PRZEMYSŁOWA 44, 24200, BEŁŻYCE","51.155763, 22.2843565"
30003637,"KONRADA WALLENRODA 2F/4, 20607, LUBLIN","51.2398388, 22.528676"
040299,"UL. ZWYCIĘSTWA 1, 66100, SULECHÓW","52.0894465, 15.6223289"
110013,"UL. PARZĘCZEWSKA 35, 95100, ZGIERZ","51.8625124, 19.3892196"
110016,"UL. KNIAZIEWICZA 1/5, 91347, ŁÓDŹ","51.80003430000001, 19.4392297"
20002222,"MIKOŁAJA BOŁTUCIA 10, 85791, BYDGOSZCZ","53.1542252, 18.1374561"
20003976,"BRONIEWSKIEGO 9, 85016, BYDGOSZCZ","53.1195286, 17.9633491"
20004242,"MARII SKŁODOWSKIEJ - CURIE 18, 86032, NIEMCZ","53.1782447, 18.0350632"
20006256,"SYLWESTRA KALISKIEGO 28/U1, 85796, BYDGOSZCZ","53.145918998830595, 18.131846157671887"
063/100006,"UL. JÓZEFA PIŁSUDSKIEGO 61, 34600, LIMANOWA","49.7174892, 20.4126173"
064/200107,"UL. DROGOWCÓW 6, 32400, MYŚLENICE","49.8327774, 19.9556552"
09R/030997,"UL. DOMINIKAŃSKA 1A, 35077, RZESZÓW","50.0206798, 21.9902467"
09R/031114,"RUDNA MAŁA 600, 36060, RUDNA MAŁA","50.1048199, 21.9785852"
125/200449,"UL. SZKOLNA 12, 42470, BRUDZOWICE","50.4993648, 19.1942323"
130000204,"SPACEROWA 5, 26026, MORAWICA","50.7471939, 20.6232313"
130000313,"WOJSKA POLSKIEGO 51, 25375, KIELCE","50.86011550000001, 20.635726"
140000540,"KARD. STEFANA WYSZYŃSKIEGO 37, 11100, LIDZBARK WARMIŃSKI","54.1256733, 20.5888341"
140000729,"DĄBROWSKIEGO 16, 14300, MORĄG","53.9160398, 19.9279338"
140000774,"ŻOŁNIERSKA 18, 10561, OLSZTYN","53.7694747, 20.4921172"
140000811,"ARMII KRAJOWEJ 8, 11300, BISKUPIEC","53.8653992, 20.9571617"
140000924,"GEN.WŁ.ANDERSA 3, 14200, IŁAWA","53.5846054, 19.5674629"
121/100200,"UL. PCK 1, 40057, KATOWICE","50.2525147, 19.01497"
121/100375,"UL. STEFANA ŻEROMSKIEGO 7, 41902, BYTOM","50.352808, 18.9227668"
121/100463,"UL. ALEJA LEGIONÓW 10, 41902, BYTOM","50.3546084, 18.9121685"
121/101006,"UL. MEDYKÓW 16, 40752, KATOWICE","50.22386729999999, 18.9510429"
121/101059,"UL. WITA STWOSZA 39-41, 40042, KATOWICE","50.24519, 19.0140402"
121/200135,"UL. POWSTAŃCÓW 27, 41500, CHORZÓW","50.29332640000001, 18.9500675"
