trade_name;substance_name;ean_code
Zoledronic acid Fresenius Kabi;Acidum zoledronicum;05909991023652
Zoledronic acid Fresenius Kabi;Acidum zoledronicum;05909991023669
Zoledronic acid Fresenius Kabi;Acidum zoledronicum;05909991023676
Edelan;Mometasoni furoas;05909991023683
Edelan;Mometasoni furoas;05909991023690
Nalgesin;Naproxenum natricum;05909991023744
Nalgesin;Naproxenum natricum;05909991023751
Nalgesin;Naproxenum natricum;05909991023768
Nalgesin;Naproxenum natricum;05909991023775
Nalgesin;Naproxenum natricum;05909991066178
Nalgesin Forte;Naproxenum natricum;05909991023782
Nalgesin Forte;Naproxenum natricum;05909991023799
Nalgesin Forte;Naproxenum natricum;05909991023805
Nalgesin Forte;Naproxenum natricum;05909991023829
Nalgesin Forte;Naproxenum natricum;05909991023836
Nalgesin Forte;Naproxenum natricum;05909991066185
Amlozek;Amlodipinum;05909990799817
Amlozek;Amlodipinum;05909990072866
Proxacin 1%;Ciprofloxacinum;05909990805518
Proxacin 1%;Ciprofloxacinum;05909990805617
Proxacin 1%;Ciprofloxacinum;05909990805624
Aprovel;Irbesartanum;05909990782512
Aprovel;Irbesartanum;05909990782529
Aprovel;Irbesartanum;05909990782536
Aprovel;Irbesartanum;05909990782543
Aprovel;Irbesartanum;05909990430178
Twinrix Adult;Vaccinum hepatitidis A inactivatum et hepatitidis B (ADNr)  adsorbatum;05909990794812
Twinrix Adult;Vaccinum hepatitidis A inactivatum et hepatitidis B (ADNr)  adsorbatum;05909990794829
Twinrix Adult;Vaccinum hepatitidis A inactivatum et hepatitidis B (ADNr)  adsorbatum;05909990794836
Twinrix Adult;Vaccinum hepatitidis A inactivatum et hepatitidis B (ADNr)  adsorbatum;05909990794843
Twinrix Adult;Vaccinum hepatitidis A inactivatum et hepatitidis B (ADNr)  adsorbatum;05909990794850
Twinrix Adult;Vaccinum hepatitidis A inactivatum et hepatitidis B (ADNr)  adsorbatum;05909990794867
Twinrix Adult;Vaccinum hepatitidis A inactivatum et hepatitidis B (ADNr)  adsorbatum;05909990794874
Twinrix Adult;Vaccinum hepatitidis A inactivatum et hepatitidis B (ADNr)  adsorbatum;05909990794881
Twinrix Adult;Vaccinum hepatitidis A inactivatum et hepatitidis B (ADNr)  adsorbatum;05909990794898
AmBisome liposomal;Amphotericinum B;05909990800018
AmBisome liposomal;Amphotericinum B;05909990800025
Indapen SR;Indapamidum;05909990665891
Indapen SR;Indapamidum;05909990665907
Indapen SR;Indapamidum;05909990665938
Indapen SR;Indapamidum;05909990665945
Xyrem;Natrii hydroxybutyras;05909990022502
Filgrastim Hexal;Filgrastimum;05909990683307
Filgrastim Hexal;Filgrastimum;05909990683338
Filgrastim Hexal;Filgrastimum;05909990683345
Filgrastim Hexal;Filgrastimum;05909990683352
Exelon;Rivastigminum;05909990781416
Exelon;Rivastigminum;05909990781423
Exelon;Rivastigminum;05909990781430
Exelon;Rivastigminum;05909990000968
Ursopol;Acidum ursodeoxycholicum;05909990798216
Ursopol;Acidum ursodeoxycholicum;05909990798223
Bronchicum T;Thymi extractum fluidum;05909990789214
Bronchicum T;Thymi extractum fluidum;05909990789221
Arthryl Fast;Glucosamini sulfas + Lidocaini hydrochloridum;05909991029944
NovoNorm;Repaglinidum;05909990804016
NovoNorm;Repaglinidum;05909990804023
NovoNorm;Repaglinidum;05909990804030
Flegamina Classic Junior o smaku truskawkowym;Bromhexini hydrochloridum;05909990042876
Flegamina Classic Junior o smaku truskawkowym;Bromhexini hydrochloridum;05909990806416
Neomycinum Jelfa;Neomycini sulfas;05909990790913
Citocartin 100;Articaini hydrochloridum + Adrenalinum;05909990788613
Citocartin 100;Articaini hydrochloridum + Adrenalinum;05909990788620
