icd_code;disease_type_pl;disease_type_en;icd_disease_details;disease_pl_details;disease_en_details
A00;Choroba zakaźna wywołana przez Vibrio cholerae [cholera];Cholera;A00.0;Cholera wywołana przez Vibrio cholerae 01, biotyp cholerae;Cholera due to Vibrio cholerae 01, biovar cholerae
A00;Choroba zakaźna wywołana przez Vibrio cholerae [cholera];Cholera;A00.0;Cholera wywołana przez Vibrio cholerae 01, biotyp cholerae;
A00;Choroba zakaźna wywołana przez Vibrio cholerae [cholera];Cholera;A00.1;Cholera wywołana przez Vibrio cholerae 01, biotyp El-Tor;Cholera due to Vibrio cholerae 01, biovar eltor
A00;Choroba zakaźna wywołana przez Vibrio cholerae [cholera];Cholera;A00.1;Cholera wywołana przez Vibrio cholerae 01, biotyp El-Tor;
A00;Choroba zakaźna wywołana przez Vibrio cholerae [cholera];Cholera;A00.9;Cholera, nieokreślona;Cholera, unspecified
A01;Choroba zakaźna wywołana przez Salmonella typhi i Salmonella paratyphi [dur brzuszny i dury rzekome];Typhoid and paratyphoid fevers;A01.0;Dur brzuszny;Typhoid fever
A01;Choroba zakaźna wywołana przez Salmonella typhi i Salmonella paratyphi [dur brzuszny i dury rzekome];Typhoid and paratyphoid fevers;A01.0;Dur brzuszny;
A01;Choroba zakaźna wywołana przez Salmonella typhi i Salmonella paratyphi [dur brzuszny i dury rzekome];Typhoid and paratyphoid fevers;A01.1;Dur rzekomy A;Paratyphoid fever A
A01;Choroba zakaźna wywołana przez Salmonella typhi i Salmonella paratyphi [dur brzuszny i dury rzekome];Typhoid and paratyphoid fevers;A01.2;Dur rzekomy B;Paratyphoid fever B
A01;Choroba zakaźna wywołana przez Salmonella typhi i Salmonella paratyphi [dur brzuszny i dury rzekome];Typhoid and paratyphoid fevers;A01.3;Dur rzekomy C;Paratyphoid fever C
A01;Choroba zakaźna wywołana przez Salmonella typhi i Salmonella paratyphi [dur brzuszny i dury rzekome];Typhoid and paratyphoid fevers;A01.4;Dur rzekomy, nieokreślony;Paratyphoid fever, unspecified
A01;Choroba zakaźna wywołana przez Salmonella typhi i Salmonella paratyphi [dur brzuszny i dury rzekome];Typhoid and paratyphoid fevers;A01.4;Dur rzekomy, nieokreślony;
A02;Inne zakażenia wywołane przez Salmonella;Other salmonella infections;A02.0;Zatrucie pokarmowe wywołane przez Salmonella;Salmonella enteritis
A02;Inne zakażenia wywołane przez Salmonella;Other salmonella infections;A02.0;Zatrucie pokarmowe wywołane przez Salmonella;
A02;Inne zakażenia wywołane przez Salmonella;Other salmonella infections;A02.1;Posocznica wywołana przez Salmonella;Salmonella sepsis
A02;Inne zakażenia wywołane przez Salmonella;Other salmonella infections;A02.2;Ogniskowe zakażenia wywołane przez Salmonella;Localized salmonella infections
A02;Inne zakażenia wywołane przez Salmonella;Other salmonella infections;A02.2;Ogniskowe zakażenia wywołane przez Salmonella;
A02;Inne zakażenia wywołane przez Salmonella;Other salmonella infections;A02.2;Ogniskowe zakażenia wywołane przez Salmonella;
A02;Inne zakażenia wywołane przez Salmonella;Other salmonella infections;A02.2;Ogniskowe zakażenia wywołane przez Salmonella;
A02;Inne zakażenia wywołane przez Salmonella;Other salmonella infections;A02.2;Ogniskowe zakażenia wywołane przez Salmonella;
A02;Inne zakażenia wywołane przez Salmonella;Other salmonella infections;A02.2;Ogniskowe zakażenia wywołane przez Salmonella;
A02;Inne zakażenia wywołane przez Salmonella;Other salmonella infections;A02.8;Inne określone zakażenia wywołane przez Salmonella;Other specified salmonella infections
A02;Inne zakażenia wywołane przez Salmonella;Other salmonella infections;A02.9;Zakażenie wywołane przez Salmonella, nieokreślone;Salmonella infection, unspecified
A03;Choroba zakaźna wywołana przez Shigella [szigelloza];Shigellosis;A03.0;Szigelloza wywołana przez Shigella dysenteriae;Shigellosis due to Shigella dysenteriae
A03;Choroba zakaźna wywołana przez Shigella [szigelloza];Shigellosis;A03.0;Szigelloza wywołana przez Shigella dysenteriae;
A03;Choroba zakaźna wywołana przez Shigella [szigelloza];Shigellosis;A03.1;Szigelloza wywołana przez Shigella flexneri;Shigellosis due to Shigella flexneri
A03;Choroba zakaźna wywołana przez Shigella [szigelloza];Shigellosis;A03.1;Szigelloza wywołana przez Shigella flexneri;
A03;Choroba zakaźna wywołana przez Shigella [szigelloza];Shigellosis;A03.2;Szigelloza wywołana przez Shigella boydii;Shigellosis due to Shigella boydii
A03;Choroba zakaźna wywołana przez Shigella [szigelloza];Shigellosis;A03.2;Szigelloza wywołana przez Shigella boydii;
A03;Choroba zakaźna wywołana przez Shigella [szigelloza];Shigellosis;A03.3;Szigelloza wywołana przez Shigella sonnei;Shigellosis due to Shigella sonnei
A03;Choroba zakaźna wywołana przez Shigella [szigelloza];Shigellosis;A03.3;Szigelloza wywołana przez Shigella sonnei;
A03;Choroba zakaźna wywołana przez Shigella [szigelloza];Shigellosis;A03.8;Inne szigellozy;Other shigellosis
A03;Choroba zakaźna wywołana przez Shigella [szigelloza];Shigellosis;A03.9;Szigelloza, nieokreślona;Shigellosis, unspecified
A03;Choroba zakaźna wywołana przez Shigella [szigelloza];Shigellosis;A03.9;Szigelloza, nieokreślona;
A04;Inne bakteryjne zakażenia jelit;Other bacterial intestinal infections;A04.0;Zakażenie Escherichia coli enteropatogenną;Enteropathogenic Escherichia coli infection
A04;Inne bakteryjne zakażenia jelit;Other bacterial intestinal infections;A04.1;Zakażenie Escherichia coli enterotoksyczną;Enterotoxigenic Escherichia coli infection
A04;Inne bakteryjne zakażenia jelit;Other bacterial intestinal infections;A04.2;Zakażenie Escherichia coli enteroinwazyjną;Enteroinvasive Escherichia coli infection
A04;Inne bakteryjne zakażenia jelit;Other bacterial intestinal infections;A04.3;Zakażenie Escherichia coli enterokrwotoczną;Enterohaemorrhagic Escherichia coli infection
A04;Inne bakteryjne zakażenia jelit;Other bacterial intestinal infections;A04.4;Inne zakażenia jelit wywołane przez Escherichia coli;Other intestinal Escherichia coli infections
A04;Inne bakteryjne zakażenia jelit;Other bacterial intestinal infections;A04.4;Inne zakażenia jelit wywołane przez Escherichia coli;
A04;Inne bakteryjne zakażenia jelit;Other bacterial intestinal infections;A04.5;Zapalenie jelit wywołane przez Campylobacter;Campylobacter enteritis
A04;Inne bakteryjne zakażenia jelit;Other bacterial intestinal infections;A04.6;Zapalenie jelit wywołane przez Yersinia enterocolitica;Enteritis due to Yersinia enterocolitica
A04;Inne bakteryjne zakażenia jelit;Other bacterial intestinal infections;A04.7;Zapalenie jelita cienkiego i grubego wywołane przez Clostridium difficile;Enterocolitis due to Clostridium difficile
A04;Inne bakteryjne zakażenia jelit;Other bacterial intestinal infections;A04.7;Zapalenie jelita cienkiego i grubego wywołane przez Clostridium difficile;
A04;Inne bakteryjne zakażenia jelit;Other bacterial intestinal infections;A04.7;Zapalenie jelita cienkiego i grubego wywołane przez Clostridium difficile;
A04;Inne bakteryjne zakażenia jelit;Other bacterial intestinal infections;A04.8;Inne określone jelitowe zakażenia bakteryjne;Other specified bacterial intestinal infections
A04;Inne bakteryjne zakażenia jelit;Other bacterial intestinal infections;A04.9;Jelitowe zakażenie bakteryjne, nieokreślone;Bacterial intestinal infection, unspecified
A04;Inne bakteryjne zakażenia jelit;Other bacterial intestinal infections;A04.9;Jelitowe zakażenie bakteryjne, nieokreślone;
A05;Inne bakterie zawarte w pokarmie powodujące zatrucia niesklasyfikowane gdzie indziej;Other bacterial foodborne intoxications;A05.0;Pokarmowe zatrucie gronkowcowe;Foodborne staphylococcal intoxication
A05;Inne bakterie zawarte w pokarmie powodujące zatrucia niesklasyfikowane gdzie indziej;Other bacterial foodborne intoxications;A05.1;Zatrucie pokarmowe wywołane przez Clostridium botulinum;Botulism
A05;Inne bakterie zawarte w pokarmie powodujące zatrucia niesklasyfikowane gdzie indziej;Other bacterial foodborne intoxications;A05.1;Zatrucie pokarmowe wywołane przez Clostridium botulinum;
A05;Inne bakterie zawarte w pokarmie powodujące zatrucia niesklasyfikowane gdzie indziej;Other bacterial foodborne intoxications;A05.2;Zatrucie pokarmowe wywołane przez Clostridium perfringens [Clostridium welchii];Foodborne Clostridium perfringens [Clostridium welchii] intoxication
A05;Inne bakterie zawarte w pokarmie powodujące zatrucia niesklasyfikowane gdzie indziej;Other bacterial foodborne intoxications;A05.2;Zatrucie pokarmowe wywołane przez Clostridium perfringens [Clostridium welchii];
A05;Inne bakterie zawarte w pokarmie powodujące zatrucia niesklasyfikowane gdzie indziej;Other bacterial foodborne intoxications;A05.2;Zatrucie pokarmowe wywołane przez Clostridium perfringens [Clostridium welchii];
A05;Inne bakterie zawarte w pokarmie powodujące zatrucia niesklasyfikowane gdzie indziej;Other bacterial foodborne intoxications;A05.3;Zatrucie pokarmowe wywołane przez Vibrio parahaemolyticus;Foodborne Vibrio parahaemolyticus intoxication
A05;Inne bakterie zawarte w pokarmie powodujące zatrucia niesklasyfikowane gdzie indziej;Other bacterial foodborne intoxications;A05.4;Zatrucie pokarmowe wywołane przez Bacillus cereus;Foodborne Bacillus cereus intoxication
A05;Inne bakterie zawarte w pokarmie powodujące zatrucia niesklasyfikowane gdzie indziej;Other bacterial foodborne intoxications;A05.8;Inne określone bakteryjne zatrucia pokarmowe;Other specified bacterial foodborne intoxications
A05;Inne bakterie zawarte w pokarmie powodujące zatrucia niesklasyfikowane gdzie indziej;Other bacterial foodborne intoxications;A05.9;Bakteryjne zatrucie pokarmowe, nieokreślone;Bacterial foodborne intoxication, unspecified
A06;Choroba zakaźna wywołana przez Entamoeba histolytica [pełzakowica] [ameboza];Amoebiasis;A06.0;Ostra czerwonka pełzakowa;Acute amoebic dysentery
A06;Choroba zakaźna wywołana przez Entamoeba histolytica [pełzakowica] [ameboza];Amoebiasis;A06.0;Ostra czerwonka pełzakowa;
A06;Choroba zakaźna wywołana przez Entamoeba histolytica [pełzakowica] [ameboza];Amoebiasis;A06.0;Ostra czerwonka pełzakowa;
A06;Choroba zakaźna wywołana przez Entamoeba histolytica [pełzakowica] [ameboza];Amoebiasis;A06.1;Przewlekła pełzakowica jelitowa;Chronic intestinal amoebiasis
A06;Choroba zakaźna wywołana przez Entamoeba histolytica [pełzakowica] [ameboza];Amoebiasis;A06.2;Pełzakowy nieczerwonkowy nieżyt jelita grubego;Amoebic nondysenteric colitis
A06;Choroba zakaźna wywołana przez Entamoeba histolytica [pełzakowica] [ameboza];Amoebiasis;A06.3;Guz pełzakowy jelita;Amoeboma of intestine
A06;Choroba zakaźna wywołana przez Entamoeba histolytica [pełzakowica] [ameboza];Amoebiasis;A06.3;Guz pełzakowy jelita;
A06;Choroba zakaźna wywołana przez Entamoeba histolytica [pełzakowica] [ameboza];Amoebiasis;A06.4;Pełzakowy ropień wątroby;Amoebic liver abscess (K77.0*)
A06;Choroba zakaźna wywołana przez Entamoeba histolytica [pełzakowica] [ameboza];Amoebiasis;A06.4;Pełzakowy ropień wątroby;
A06;Choroba zakaźna wywołana przez Entamoeba histolytica [pełzakowica] [ameboza];Amoebiasis;A06.5†;Pełzakowy ropień płuc (J99.8*);Amoebic lung abscess (J99.8*)
A06;Choroba zakaźna wywołana przez Entamoeba histolytica [pełzakowica] [ameboza];Amoebiasis;A06.5†;Pełzakowy ropień płuc (J99.8*);
A06;Choroba zakaźna wywołana przez Entamoeba histolytica [pełzakowica] [ameboza];Amoebiasis;A06.6†;Pełzakowy ropień mózgu (G07*);Amoebic brain abscess (G07*)
A06;Choroba zakaźna wywołana przez Entamoeba histolytica [pełzakowica] [ameboza];Amoebiasis;A06.6†;Pełzakowy ropień mózgu (G07*);
A06;Choroba zakaźna wywołana przez Entamoeba histolytica [pełzakowica] [ameboza];Amoebiasis;A06.7;Pełzakowica skórna;Cutaneous amoebiasis
A06;Choroba zakaźna wywołana przez Entamoeba histolytica [pełzakowica] [ameboza];Amoebiasis;A06.8;Pełzakowe zakażenie o innym umiejscowieniu;Amoebic infection of other sites
A06;Choroba zakaźna wywołana przez Entamoeba histolytica [pełzakowica] [ameboza];Amoebiasis;A06.8;Pełzakowe zakażenie o innym umiejscowieniu;
A06;Choroba zakaźna wywołana przez Entamoeba histolytica [pełzakowica] [ameboza];Amoebiasis;A06.8;Pełzakowe zakażenie o innym umiejscowieniu;
A06;Choroba zakaźna wywołana przez Entamoeba histolytica [pełzakowica] [ameboza];Amoebiasis;A06.9;Pełzakowica, nieokreślona;Amoebiasis, unspecified
A07;Inne pierwotniakowe choroby jelit;Other protozoal intestinal diseases;A07.0;Choroba wywołana przez Balantidium coli;Balantidiasis
A07;Inne pierwotniakowe choroby jelit;Other protozoal intestinal diseases;A07.0;Choroba wywołana przez Balantidium coli;
A07;Inne pierwotniakowe choroby jelit;Other protozoal intestinal diseases;A07.1;Choroba wywołana przez Giardia intestinalis (Giardia lamblia) [giardioza];Giardiasis [lambliasis]
A07;Inne pierwotniakowe choroby jelit;Other protozoal intestinal diseases;A07.2;Choroba wywołana przez Cryptosporidium parvum [kryptosporydioza];Cryptosporidiosis
A07;Inne pierwotniakowe choroby jelit;Other protozoal intestinal diseases;A07.3;Izosporoza;Isosporiasis
A07;Inne pierwotniakowe choroby jelit;Other protozoal intestinal diseases;A07.3;Izosporoza;
A07;Inne pierwotniakowe choroby jelit;Other protozoal intestinal diseases;A07.3;Izosporoza;
A07;Inne pierwotniakowe choroby jelit;Other protozoal intestinal diseases;A07.3;Izosporoza;
A07;Inne pierwotniakowe choroby jelit;Other protozoal intestinal diseases;A07.8;Inne określone choroby jelit wywołane przez pierwotniaki;Other specified protozoal intestinal diseases
A07;Inne pierwotniakowe choroby jelit;Other protozoal intestinal diseases;A07.8;Inne określone choroby jelit wywołane przez pierwotniaki;
A07;Inne pierwotniakowe choroby jelit;Other protozoal intestinal diseases;A07.8;Inne określone choroby jelit wywołane przez pierwotniaki;
A07;Inne pierwotniakowe choroby jelit;Other protozoal intestinal diseases;A07.8;Inne określone choroby jelit wywołane przez pierwotniaki;
A07;Inne pierwotniakowe choroby jelit;Other protozoal intestinal diseases;A07.9;Choroby jelit wywołane przez pierwotniaki, nieokreślone;Protozoal intestinal disease, unspecified
A07;Inne pierwotniakowe choroby jelit;Other protozoal intestinal diseases;A07.9;Choroby jelit wywołane przez pierwotniaki, nieokreślone;
A07;Inne pierwotniakowe choroby jelit;Other protozoal intestinal diseases;A07.9;Choroby jelit wywołane przez pierwotniaki, nieokreślone;
